Sentence,NER
CRICKET - LEICESTERSHIRE TAKE OVER AT TOP AFTER INNINGS VICTORY.,"{""ORG"": [""LEICESTERSHIRE""]}"
LONDON 1996-08-30,"{""LOC"": [""LONDON""]}"
West Indian all-rounder Phil Simmons took four for 38 on Friday as Leicestershire beat Somerset by an innings and 39 runs in two days to take over at the head of the county championship.,"{""MISC"": [""West Indian""], ""PER"": [""Phil Simmons""], ""ORG"": [""Leicestershire"", ""Somerset""]}"
"Their stay on top, though, may be short-lived as title rivals Essex, Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire.","{""ORG"": [""Essex"", ""Derbyshire"", ""Surrey"", ""Kent"", ""Nottinghamshire""]}"
"After bowling Somerset out for 83 on the opening morning at Grace Road, Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83.","{""ORG"": [""Somerset"", ""Leicestershire""], ""LOC"": [""Grace Road"", ""England""], ""PER"": [""Andy Caddick""]}"
"Trailing by 213, Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174.","{""ORG"": [""Somerset""], ""PER"": [""Simmons""]}"
"Essex, however, look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley.","{""ORG"": [""Essex"", ""Yorkshire""], ""PER"": [""Nasser Hussain"", ""Peter Such""], ""LOC"": [""Headingley""]}"
"Hussain, considered surplus to England's one-day requirements, struck 158, his first championship century of the season, as Essex reached 372 and took a first innings lead of 82.","{""PER"": [""Hussain""], ""LOC"": [""England""], ""ORG"": [""Essex""]}"
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes, taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain.","{""ORG"": [""Yorkshire""], ""PER"": [""Such""]}"
"At the Oval, Surrey captain Chris Lewis, another man dumped by England, continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire.","{""LOC"": [""Oval"", ""England""], ""ORG"": [""Surrey"", ""Warwickshire""], ""PER"": [""Chris Lewis""]}"
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven, a lead of 234.","{""LOC"": [""England""], ""PER"": [""Mark Butcher""], ""ORG"": [""Surrey""]}"
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings, still 100 runs away from avoiding an innings defeat.","{""ORG"": [""Derbyshire"", ""Worcestershire""]}"
"Australian Tom Moody took six for 82 but Chris Adams, 123, and Tim O'Gorman, 109, took Derbyshire to 471 and a first innings lead of 233.","{""MISC"": [[""Australian""]], ""PER"": [""Tom Moody"", ""Chris Adams"", ""Tim O'Gorman""], ""ORG"": [""Derbyshire""]}"
"After the frustration of seeing the opening day of their match badly affected by the weather, Kent stepped up a gear to dismiss Nottinghamshire for 214.","{""ORG"": [""Kent"", ""Nottinghamshire""]}"
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55.,"{""PER"": [""Paul Johnson"", ""Martin McCague""], ""MISC"": [""ex-England""]}"
By stumps Kent had reached 108 for three.,"{""ORG"": [""Kent""]}"
-DOCSTART-,{}
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES.,"{""MISC"": [""ENGLISH COUNTY CHAMPIONSHIP""]}"
LONDON 1996-08-30,"{""LOC"": [""LONDON""]}"
Result and close of play scores in English county championship matches on Friday :,"{""MISC"": [""English""]}"
Leicester : Leicestershire beat Somerset by an innings and 39 runs.,"{""LOC"": [""Leicester""], ""ORG"": [""Leicestershire"", ""Somerset""]}"
"Somerset 83 and 174 (P. Simmons 4-38), Leicestershire 296.","{""ORG"": [""Somerset"", ""Leicestershire""], ""PER"": [""P. Simmons""]}"
"Leicestershire 22 points, Somerset 4.","{""ORG"": [""Leicestershire"", ""Somerset""]}"
"Chester-le-Street : Glamorgan 259 and 207 (A. Dale 69, H. Morris 69 ; D. Blenkiron 4-43), Durham 114 (S. Watkin 4-28) and 81-3.","{""LOC"": [""Chester-le-Street""], ""ORG"": [""Glamorgan"", ""Durham""], ""PER"": [""A. Dale"", ""H. Morris"", ""D. Blenkiron"", ""S. Watkin""]}"
"Tunbridge Wells : Nottinghamshire 214 (P. Johnson 84 ; M. McCague 4-55), Kent 108-3.","{""LOC"": [""Tunbridge Wells""], ""ORG"": [""Nottinghamshire"", ""Kent""], ""PER"": [""P. Johnson"", ""M. McCague""]}"
"London (The Oval) : Warwickshire 195, Surrey 429-7 (C. Lewis 80 not out, M. Butcher 70, G. Kersey 63, J. Ratcliffe 63, D. Bicknell 55).","{""LOC"": [""London"", ""The Oval""], ""ORG"": [""Warwickshire"", ""Surrey""], ""PER"": [""C. Lewis"", ""M. Butcher"", ""G. Kersey"", ""J. Ratcliffe"", ""D. Bicknell""]}"
"Hove : Sussex 363 (W. Athey 111, V. Drakes 52 ; I. Austin 4-37), Lancashire 197-8 (W. Hegg 54)","{""LOC"": [""Hove""], ""ORG"": [""Sussex"", ""Lancashire""], ""PER"": [""W. Athey"", ""V. Drakes"", ""I. Austin"", ""W. Hegg""]}"
"Portsmouth : Middlesex 199 and 426 (J. Pooley 111, M. Ramprakash 108, M. Gatting 83), Hampshire 232 and 109-5.","{""LOC"": [""Portsmouth""], ""ORG"": [""Middlesex"", ""Hampshire""], ""PER"": [""J. Pooley"", ""M. Ramprakash"", ""M. Gatting""]}"
"Chesterfield : Worcestershire 238 and 133-5, Derbyshire 471 (J. Adams 123, T.O'Gorman 109 not out, K. Barnett 87 ; T. Moody 6-82)","{""LOC"": [""Chesterfield""], ""ORG"": [""Worcestershire"", ""Derbyshire""], ""PER"": [""J. Adams"", ""T.O'Gorman"", ""K. Barnett"", ""T. Moody""]}"
"Bristol : Gloucestershire 183 and 185-6 (J. Russell 56 not out), Northamptonshire 190 (K. Curran 52 ; A. Smith 5-68).","{""LOC"": [""Bristol""], ""ORG"": [""Gloucestershire"", ""Northamptonshire""], ""PER"": [""J. Russell"", ""K. Curran"", ""A. Smith""]}"
-DOCSTART-,{}
CRICKET - 1997 ASHES INTINERARY.,"{""MISC"": [""ASHES""]}"
LONDON 1996-08-30,"{""LOC"": [""LONDON""]}"
Australia will defend the Ashes in,"{""LOC"": [""Australia""], ""MISC"": [""Ashes""]}"
a six-test series against England during a four-month tour,"{""LOC"": [""England""]}"
"starting on May 13 next year, the Test and County Cricket Board",{}
said on Friday.,"{""ORG"": [""Test and County Cricket Board""]}"
Australia will also play three one-day internationals and,"{""LOC"": [""Australia""]}"
four one-day warm-up matches at the start of the tour.,{}
The tourists will play nine first-class matches against,{}
"English county sides and another against British Universities,","{""MISC"": [""English""], ""ORG"": [""British Universities""]}"
as well as one-day matches against the Minor Counties and,"{""ORG"": [""Minor Counties""]}"
Scotland.,"{""LOC"": [""Scotland""]}"
Tour itinerary :,{}
May,{}
May 13 Arrive in London,{}
May 14 Practice at Lord's,"{""LOC"": [""London""]}"
May 15 v Duke of Norfolk's XI (at Arundel),"{""LOC"": [""Lord 's"", ""Arundel""], ""ORG"": [""Duke of Norfolk 's XI""]}"
May 17 v Northampton,{}
May 18 v Worcestershire,"{""ORG"": [""Northampton""]}"
May 20 v Durham,"{""ORG"": [""Worcestershire""]}"
"May 22 First one-day international (at Headingley,","{""ORG"": [""Durham""], ""LOC"": [""Headingley""]}"
Leeds),"{""ORG"": [""Leeds""]}"
"May 24 Second one-day international (at The Oval,","{""LOC"": [""The Oval""]}"
London),"{""LOC"": [""London""]}"
"May 25 Third one-day international (at Lord's, London)","{""LOC"": [""Lord 's"", ""London""]}"
May 27-29 v Gloucestershire or Sussex or Surrey (three,"{""ORG"": [""Gloucestershire"", ""Sussex"", ""Surrey""]}"
days),{}
May 31 - June 2 v Derbyshire (three days),"{""ORG"": [""Derbyshire""]}"
June,{}
"June 5-9 First test match (at Edgbaston, Birmingham)","{""LOC"": [""Edgbaston"", ""Birmingham""]}"
June 11-13 v a first class county (to be confirmed),{}
June 14-16 v Leicestershire (three days),"{""ORG"": [""Leicestershire""]}"
June 19-23 Second test (at Lord's),"{""LOC"": [""Lord 's""]}"
"June 25-27 v British Universities (at Oxford, three days)","{""ORG"": [""British Universities""], ""LOC"": [""Oxford""]}"
June 28-30 v Hampshire (three days),"{""ORG"": [""Hampshire""]}"
July,{}
"July 3-7 Third test (at Old Trafford, Manchester)","{""LOC"": [""Old Trafford"", ""Manchester""]}"
July 9 v Minor Counties XI,{}
July 12 v Scotland,"{""ORG"": [""Minor Counties XI""]}"
July 16-18 v Glamorgan (three days),"{""LOC"": [""Scotland""], ""ORG"": [""Glamorgan""]}"
July 19-21 v Middlesex (three days),"{""ORG"": [""Middlesex""]}"
July 24-28 Fourth test (at Headingley),"{""LOC"": [""Headingley""]}"
August,{}
August 1-4 v Somerset (four days),"{""ORG"": [""Somerset""]}"
"August 7-11 Fifth test (at Trent Bridge, Nottingham)","{""LOC"": [""Trent Bridge"", ""Nottingham""]}"
August 16-18 v Kent (three days),"{""ORG"": [""Kent""]}"
"August 21-25 Sixth test (at The Oval, London).","{""LOC"": [""The Oval"", ""London""]}"
-DOCSTART-,{}
SOCCER - SHEARER NAMED AS ENGLAND CAPTAIN.,"{""PER"": [""SHEARER""], ""LOC"": [""ENGLAND""]}"
LONDON 1996-08-30,"{""LOC"": [""LONDON""]}"
